                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.2643,                0.99375,                 1.1606,                0.66759,                0.68729,                0.74117,                0.40601,                 1.4395,                 1.0284,                 1.1909,             0.00051517,             0.00051517,             0.00051517
                     73,                 1.2864,                 1.0324,                 1.1745,                0.75621,                0.57232,                0.65743,                0.37236,                 1.5277,                 1.1553,                 1.2573,             0.00051363,             0.00051363,             0.00051363
                     74,                 1.2732,                0.98087,                 1.1647,                0.77296,                0.64159,                0.74209,                 0.4149,                  1.465,                 1.0214,                 1.1811,             0.00051208,             0.00051208,             0.00051208
                     75,                 1.2635,                0.98806,                 1.1615,                0.77375,                0.67955,                 0.7635,                0.41898,                 1.4965,                 1.0125,                 1.1819,             0.00051053,             0.00051053,             0.00051053
                     76,                  1.271,                0.97479,                 1.1619,                0.70856,                0.71231,                0.76381,                0.43509,                 1.4146,                0.93318,                 1.1433,             0.00050898,             0.00050898,             0.00050898
                     77,                 1.2818,                0.99432,                 1.1745,                0.78506,                0.72458,                0.78157,                0.44274,                 1.3941,                0.89562,                 1.1547,             0.00050744,             0.00050744,             0.00050744
                     78,                 1.3055,                  1.006,                 1.1618,                0.76881,                0.70495,                0.77481,                0.42686,                  1.501,                0.97131,                 1.1975,             0.00050589,             0.00050589,             0.00050589
                     79,                 1.2487,                 0.9679,                 1.1574,                  0.793,                0.74192,                0.77174,                0.43096,                 1.4283,                0.91415,                 1.1663,             0.00050434,             0.00050434,             0.00050434
                     80,                 1.2496,                0.96784,                 1.1475,                0.80198,                0.63308,                0.76812,                0.43809,                 1.4354,                 0.9414,                 1.1701,              0.0005028,              0.0005028,              0.0005028
                     81,                 1.2763,                0.98449,                 1.1548,                 0.7156,                 0.6235,                0.67935,                0.39507,                 1.4653,                  1.121,                 1.2054,             0.00050125,             0.00050125,             0.00050125
                     82,                 1.2221,                0.95732,                 1.1495,                0.81535,                0.70025,                 0.8118,                0.45603,                 1.3859,                0.88635,                 1.1605,              0.0004997,              0.0004997,              0.0004997
                     83,                 1.2168,                0.94276,                  1.143,                 0.7146,                0.75456,                 0.7793,                0.43498,                 1.4272,                0.95154,                 1.1788,             0.00049816,             0.00049816,             0.00049816
                     84,                 1.2564,                0.98429,                 1.1554,                0.71796,                0.76057,                0.77611,                0.44689,                 1.4304,                0.90905,                 1.1772,             0.00049661,             0.00049661,             0.00049661
